SKU;Total Cost;Stockout Rate;Alpha Service Level;Beta Service Level;Average Inventory Level;Stock Coverage (days)
DCYY41OXM;58862,17;0,0;100,0;100,0;1255,62;6,07
DDHH31OLZ;35941,6;0,0;100,0;100,0;1194,18;13,38
DDQO79YYY;30541,25;0,0;100,0;100,0;380,58;9,62
DDZF92MUD;10413,88;0,0;100,0;100,0;557,04;39,62
DECH95SPM;141964,51;0,0;100,0;100,0;3642,4;11,57
DENH39GDU;10086,78;0,0;100,0;100,0;528,33;47,38
DETF05GUN;79562,9;0,0;100,0;100,0;1584,05;16,15
DEUT18EKM;20,34;0,0;100,0;100,0;854,95;237,09
DEZG49HBU;11005,72;0,0;100,0;100,0;492,06;19,14
DFEL35GOO;22729,1;0,0;100,0;100,0;2588,13;33,3
DGID45KCK;117821,7;0,0;100,0;100,0;3300,83;11,38
DHWN85BFH;37474,7;0,0;100,0;100,0;308,14;8,4
DISR36IAW;77628,83;0,0;100,0;100,0;8221,56;12,08
DJCG91CEP;6643,5;0,0;100,0;100,0;394,55;46,61
DJDD16MJM;65289,06;0,0;100,0;100,0;597,87;6,15
DJVI99GND;118952,87;0,0;100,0;100,0;2138,36;12,36
DKDE49QWW;6943,17;0,0;100,0;100,0;346,54;23,12
DKEY88BQS;9581,94;0,0;100,0;100,0;1855,34;15,3
DLGZ60BGP;44175,58;0,0;100,0;100,0;1002,95;10,21
DLPB83LMJ;30,86;0,0;100,0;100,0;159,42;28,91
DLRA77DWW;4248,03;0,0;100,0;100,0;447,96;160,68
DMHG88IKV;76312,22;0,0;100,0;100,0;4536,95;7,23
DMND61MOE;15102,23;0,0;100,0;100,0;815,42;29,85
DMWW72ZFU;250147,67;0,0;100,0;100,0;1199,21;6,65
DMXD68DCV;227941,38;0,0;100,0;100,0;3728,37;12,01
DMXX95UHE;4887,15;0,0;100,0;100,0;383,03;49,96
DNKD63EQL;2979,89;0,0;100,0;100,0;1124,33;49,14
DOLF60TDO;328755,67;0,0;100,0;100,0;3391,17;7,39
DPFP00PPJ;164549,39;0,0;100,0;100,0;2907,48;14,51
DQDW59EWW;289,65;0,0;100,0;100,0;89,27;42,49
DQIB46WZL;128646,44;0,0;100,0;100,0;19377,78;10,09
DQST71BFV;5,5;0,0;100,0;100,0;1510,39;67,46
DRIH34TYV;2,08;0,0;100,0;100,0;2,03;16,71
