Policy;Simulation;Stock Cost;Order Total Cost;Total Cost;Stock Out Rate (%);Alpha Service Level (%);Beta Service Level (%);Average Inventory Level;Stock Coverage (days);Total Demand;Total Stockout;Total SOH;Stockout Days;Total Days
Smin-Smax Policy;59;96015,65;123123330,08;123219345,73;0,49;99,69;99,51;5163,22;12,11;105252763,0;513332,0;1274829205,0;754;246906
Smin-Smax Policy;60;95695,59;123123330,08;123219025,67;0,34;99,71;99,66;5113,21;11,99;105252763,0;355919,0;1262482486,0;713;246906
Smin-Smax Policy;61;96425,41;123123330,08;123219755,49;0,38;99,69;99,62;5112,53;11,99;105252763,0;403207,0;1262313336,0;754;246906
Smin-Smax Policy;62;95984,25;123123330,08;123219314,33;0,41;99,71;99,59;5153,65;12,09;105252763,0;430161,0;1272467234,0;708;246906
Smin-Smax Policy;63;97023,04;123123330,08;123220353,12;0,6;99,72;99,4;5247,43;12,31;105252763,0;634932,0;1295622136,0;700;246906
Smin-Smax Policy;64;96058,79;123123330,08;123219388,87;0,41;99,7;99,59;5115,13;12,0;105252763,0;429127,0;1262957451,0;751;246906
Smin-Smax Policy;65;95093,42;123123330,08;123218423,5;0,32;99,71;99,68;5095,94;11,95;105252763,0;336829,0;1258217428,0;709;246906
Smin-Smax Policy;66;95376,7;123123330,08;123218706,78;0,35;99,7;99,65;5115,1;12,0;105252763,0;371605,0;1262949789,0;729;246906
Smin-Smax Policy;67;94219,92;123123330,08;123217550,0;0,34;99,71;99,66;5055,52;11,86;105252763,0;354054,0;1248237902,0;721;246906
Smin-Smax Policy;68;94855,37;123123330,08;123218185,45;0,47;99,72;99,53;5117,15;12,0;105252763,0;498302,0;1263454798,0;699;246906
Smin-Smax Policy;69;94665,43;123123330,08;123217995,51;0,37;99,69;99,63;5104,6;11,97;105252763,0;394567,0;1260355570,0;759;246906
Smin-Smax Policy;70;95684,07;123123330,08;123219014,15;0,44;99,7;99,56;5145,51;12,07;105252763,0;464680,0;1270457833,0;746;246906
Smin-Smax Policy;71;98605,24;123123330,08;123221935,32;0,68;99,7;99,32;5268,7;12,36;105252763,0;717843,0;1300874844,0;752;246906
Smin-Smax Policy;72;97017,03;123123330,08;123220347,11;0,51;99,71;99,49;5209,25;12,22;105252763,0;536702,0;1286194183,0;716;246906
Smin-Smax Policy;73;95039,98;123123330,08;123218370,06;0,37;99,71;99,63;5089,91;11,94;105252763,0;390904,0;1256728571,0;714;246906
Smin-Smax Policy;74;96794,3;123123330,08;123220124,38;0,42;99,69;99,58;5139,81;12,06;105252763,0;438890,0;1269048706,0;771;246906
Smin-Smax Policy;75;94783,71;123123330,08;123218113,79;0,39;99,71;99,61;5115,37;12,0;105252763,0;407092,0;1263014717,0;719;246906
Smin-Smax Policy;76;95103,07;123123330,08;123218433,15;0,35;99,71;99,65;5094,84;11,95;105252763,0;373512,0;1257946015,0;711;246906
Smin-Smax Policy;77;96047,91;123123330,08;123219377,99;0,58;99,71;99,42;5146,53;12,07;105252763,0;611168,0;1270708656,0;709;246906
Smin-Smax Policy;78;96964,36;123123330,08;123220294,44;0,44;99,71;99,56;5143,74;12,07;105252763,0;458157,0;1270020202,0;707;246906
Smin-Smax Policy;79;95747,74;123123330,08;123219077,82;0,34;99,72;99,66;5080,26;11,92;105252763,0;355896,0;1254346709,0;691;246906
Smin-Smax Policy;80;94222,81;123123330,08;123217552,89;0,36;99,7;99,64;5051,17;11,85;105252763,0;374357,0;1247163230,0;742;246906
Smin-Smax Policy;81;94770,56;123123330,08;123218100,64;0,42;99,72;99,58;5083,9;11,93;105252763,0;443319,0;1255246021,0;680;246906
Smin-Smax Policy;82;99109,4;123123330,08;123222439,48;0,39;99,7;99,61;5155,56;12,09;105252763,0;411550,0;1272938843,0;745;246906
Smin-Smax Policy;83;96846,59;123123330,08;123220176,67;0,49;99,7;99,51;5166,58;12,12;105252763,0;520301,0;1275660695,0;750;246906
Smin-Smax Policy;84;98376,82;123123330,08;123221706,9;0,54;99,7;99,46;5183,93;12,16;105252763,0;572546,0;1279942683,0;739;246906
Smin-Smax Policy;85;95578,77;123123330,08;123218908,85;0,4;99,69;99,6;5127,74;12,03;105252763,0;415832,0;1266070207,0;755;246906
Smin-Smax Policy;86;95672,3;123123330,08;123219002,38;0,39;99,71;99,61;5128,62;12,03;105252763,0;413326,0;1266288021,0;723;246906
Smin-Smax Policy;87;98037,99;123123330,08;123221368,07;0,54;99,69;99,46;5182,99;12,16;105252763,0;571607,0;1279710748,0;757;246906
Smin-Smax Policy;88;97927,58;123123330,08;123221257,66;0,44;99,72;99,56;5188,24;12,17;105252763,0;467912,0;1281006456,0;698;246906
Smin-Smax Policy;89;96718,4;123123330,08;123220048,48;0,41;99,71;99,59;5121,75;12,01;105252763,0;435416,0;1264590422,0;717;246906
Smin-Smax Policy;90;96917,36;123123330,08;123220247,44;0,51;99,72;99,49;5151,39;12,08;105252763,0;534928,0;1271908651,0;699;246906
Smin-Smax Policy;91;95526,66;123123330,08;123218856,74;0,38;99,71;99,62;5110,21;11,99;105252763,0;396258,0;1261741574,0;712;246906
Smin-Smax Policy;92;95533,38;123123330,08;123218863,46;0,39;99,7;99,61;5118,09;12,01;105252763,0;408835,0;1263686465,0;731;246906
Smin-Smax Policy;93;95169,24;123123330,08;123218499,32;0,45;99,7;99,55;5142,9;12,06;105252763,0;472732,0;1269812659,0;745;246906
Smin-Smax Policy;94;96794,16;123123330,08;123220124,24;0,52;99,7;99,48;5162,75;12,11;105252763,0;552142,0;1274712856,0;729;246906
Smin-Smax Policy;95;95514,38;123123330,08;123218844,46;0,39;99,68;99,61;5091,67;11,94;105252763,0;414624,0;1257163340,0;794;246906
Smin-Smax Policy;96;96541,9;123123330,08;123219871,98;0,43;99,7;99,57;5143,08;12,06;105252763,0;451942,0;1269858077,0;730;246906
Smin-Smax Policy;97;96395,2;123123330,08;123219725,28;0,4;99,71;99,6;5161,27;12,11;105252763,0;425033,0;1274349611,0;728;246906
Smin-Smax Policy;98;94613,98;123123330,08;123217944,06;0,36;99,71;99,64;5103,54;11,97;105252763,0;383162,0;1260094571,0;716;246906
Smin-Smax Policy;99;96486,82;123123330,08;123219816,9;0,44;99,71;99,56;5125,18;12,02;105252763,0;467547,0;1265437584,0;709;246906
Smin-Smax Policy;100;94840,97;123123330,08;123218171,05;0,73;99,7;99,27;5117,89;12,01;105252763,0;771358,0;1263636880,0;746;246906
Reorder Level Policy;1;47154,75;115627631,58;115674786,33;6,96;97,36;93,04;2157,94;5,06;105252763,0;7322873,0;532808680,0;6529;246906
