sku,MAE,RMSE,MAPE (%),wMAPE (%),Bias,Hit Dir. (%),Max Overflow,Max Shortfall,Final Drift,Avg Actual,Avg Predicted,Max Actual,Days
DQNK77FZA,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,220
DYPH41BQW,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,220
DYQU25EAH,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,220
DZJW91EPM,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,220
EIQI15RIH,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,220
EPKG14UOP,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,220
ETPD74YYV,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,220
EUBF05NAP,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,220
EXAQ14PIV,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,220
FALX59ZVS,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,220
FCMZ10WDG,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,220
FHOE82VTC,0.0,0.0,,,0.0,0.5,0.1,0.0,0.1,0.0,0.0,0,220
FJKT72XUQ,0.0,0.0,,,0.0,0.9,0.1,0.0,0.1,0.0,0.0,0,220
FKYQ91LXR,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,220
FNCT70HCA,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,220
FNXH61BCT,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,220
FSGO12VBA,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,220
FTCE14OQS,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,220
FVZB16FQG,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,220
FZIO44TWM,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,220
GDQM16XOL,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,220
GEZH14OXN,0.11,0.78,,,0.11,1.4,23.6,8.2,23.6,0.0,0.1,0,220
GGMQ31LUT,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,220
GGQR15NEQ,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,220
GKXN90CVA,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,220
GLMK68GPC,0.0,0.01,,,0.0,0.0,0.2,0.0,0.2,0.0,0.0,0,220
GLUE22OYF,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,220
GPCK00ZTT,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,220
GTSY73XAW,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,220
GTTL40MHC,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,220
GVFO25DHP,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,220
GVMB75PFP,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,220
GVMM82GKK,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,220
GYYM68QOM,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,220
GZLZ43KJY,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,220
HBJX02GXW,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,220
HBTA58AHZ,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,220
HDWV29UBF,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,220
HEQQ07RBK,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,220
HGHE49CFA,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,220
HINF20IEB,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,220
HKDI46PAE,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,220
HNYH97SZT,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,220
HOSV38TIA,0.02,0.23,,,0.02,0.9,5.3,3.1,5.3,0.0,0.0,0,220
HOUV74LNM,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,220
HPTA54FSM,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,220
HQIW01JOJ,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,220
HXCN89PJI,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,220
HXIT96QQQ,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,220
HYJY36FUT,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,220
HZTB80XDC,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,220
IABQ57XOL,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,220
IAEH15VWS,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,220
IAHI35OET,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,220
IDAP30HAX,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,220
IDJO17XKU,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,220
IEPI19YXO,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,220
IGHO63QOP,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,220
IHHC87JCZ,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,220
IJWD16PRY,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,220
IKQT48HYS,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,220
IPRY08TOZ,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,220
ITCH85LFJ,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,220
IZIB60ITO,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,220
JBCB12LKO,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,220
JBNQ71XPW,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,220
JDOY11ZTV,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,220
JGKX45MFM,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,220
JGWF12ULH,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,220
JHFK24UKH,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,220
JIHE85ROG,0.84,6.21,,,0.84,0.0,183.7,61.7,183.7,0.0,0.8,0,220
JJGL96JRA,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,220
JKMO21AGW,3.81,32.83,,,3.81,3.2,837.2,413.2,837.2,0.0,3.8,0,220
JKPY61BRX,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,220
JOLQ27KWH,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,220
JSNN88KVA,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,220
JWBT58MXZ,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,220
